Event,Hit,BarID.0,t0,x0,y0,z0,q0,BarID.1,t1,x1,y1,z1,q1,signal,target
2,0,70,4.940e+01,1.696e-01,-1.767e-01,5.957e+00,4.213e+01,261,7.386e+01,2.467e-01,-1.906e-01,8.939e+00,5.406e+01,1,0
4,0,136,5.651e+01,-8.884e-03,2.833e-02,6.773e+00,1.180e+01,257,9.571e+01,-9.194e-01,-5.884e-01,1.143e+01,4.125e+01,1,0
8,0,265,6.314e+01,-1.011e-01,1.171e-01,8.122e+00,3.306e+01,265,6.433e+01,-2.762e-01,1.171e-01,8.226e+00,5.242e+01,1,0
17,0,71,5.005e+01,7.400e-02,-7.421e-02,5.957e+00,1.447e+01,119,5.812e+01,2.077e-01,-7.421e-02,6.669e+00,1.045e+01,1,0
19,0,72,4.672e+01,-2.154e-02,2.833e-02,5.957e+00,5.565e+01,265,6.796e+01,-1.532e-01,1.171e-01,8.226e+00,4.873e+00,1,0
29,0,261,8.304e+01,-5.105e-01,-2.808e-01,1.051e+01,2.214e+01,264,9.378e+01,-1.726e-01,2.686e-02,1.099e+01,1.224e+00,1,0
30,0,71,4.782e+01,-7.812e-04,-7.421e-02,5.957e+00,4.295e+01,87,4.917e+01,-7.098e-02,-7.421e-02,6.061e+00,3.141e+01,1,0
35,0,264,6.479e+01,-3.016e-02,1.452e-02,8.122e+00,4.595e+01,264,8.552e+01,-1.461e-02,2.686e-02,1.061e+01,5.625e+00,1,0
36,0,87,4.928e+01,-3.448e-02,-7.421e-02,6.061e+00,9.143e+00,103,4.977e+01,-3.579e-02,-7.421e-02,6.165e+00,4.959e+01,0,0
38,0,136,5.398e+01,5.766e-03,2.833e-02,6.773e+00,5.609e+01,268,6.588e+01,9.496e-02,4.247e-01,8.226e+00,3.725e+01,1,0
45,0,88,4.677e+01,-6.277e-03,2.833e-02,6.061e+00,1.952e+01,261,9.090e+01,-9.264e-01,-2.808e-01,1.143e+01,3.240e+01,1,0
55,0,137,5.227e+01,8.885e-04,1.309e-01,6.773e+00,6.032e+01,266,6.897e+01,1.009e-01,2.196e-01,8.835e+00,2.622e+01,1,0
56,0,136,5.494e+01,-2.365e-01,2.833e-02,6.773e+00,3.229e+00,134,5.536e+01,-4.664e-01,-1.767e-01,6.773e+00,4.313e+01,1,0
58,0,263,6.362e+01,-2.045e-02,-8.802e-02,8.122e+00,1.128e+01,263,7.128e+01,-4.121e-01,-8.802e-02,8.939e+00,2.375e+01,0,0
63,0,59,5.332e+01,1.567e-01,3.359e-01,6.773e+00,2.895e+00,266,8.606e+01,7.071e-02,2.319e-01,1.099e+01,3.538e+01,1,0
64,0,102,5.021e+01,-9.797e-02,-1.767e-01,6.165e+00,3.494e+01,44,5.372e+01,7.011e-01,4.385e-01,6.669e+00,3.779e+00,1,0
66,0,263,6.945e+01,1.360e-01,-8.802e-02,8.835e+00,1.638e+01,264,7.028e+01,1.692e-01,1.452e-02,8.835e+00,4.588e+01,1,0
67,0,135,5.232e+01,1.064e-01,-7.421e-02,6.773e+00,4.632e+01,271,6.983e+01,7.019e-01,7.323e-01,8.835e+00,3.295e+01,1,0
68,0,88,4.721e+01,8.595e-02,2.833e-02,6.061e+00,6.020e+01,268,6.356e+01,-2.881e-01,4.247e-01,8.122e+00,5.655e+01,1,0
69,0,119,5.136e+01,2.485e-01,-7.421e-02,6.669e+00,2.249e+01,120,5.153e+01,2.595e-01,2.833e-02,6.669e+00,1.212e+01,0,0
70,0,87,4.770e+01,-9.548e-02,-7.421e-02,6.061e+00,4.452e+01,119,5.242e+01,-3.772e-02,-7.421e-02,6.669e+00,5.758e+01,1,0
72,0,261,6.519e+01,3.512e-03,-1.906e-01,8.226e+00,3.552e+01,267,8.733e+01,7.710e-01,3.345e-01,1.061e+01,3.763e+00,1,0
75,0,260,6.793e+01,-8.523e-02,-2.931e-01,8.835e+00,4.946e+00,261,6.855e+01,-8.535e-02,-1.906e-01,8.835e+00,5.381e+01,0,0
79,0,263,8.929e+01,3.589e-02,-7.568e-02,1.143e+01,4.759e+01,265,9.475e+01,-1.983e-01,1.294e-01,1.163e+01,1.011e+01,0,0
88,0,270,8.633e+01,-2.340e-01,6.421e-01,1.099e+01,3.247e+01,270,9.811e+01,-3.760e-01,6.421e-01,1.051e+01,2.771e+00,0,0
93,0,43,5.371e+01,-1.616e-01,3.360e-01,6.669e+00,4.547e+01,266,7.126e+01,-2.086e-01,2.196e-01,8.835e+00,7.431e+00,1,0
96,0,104,4.708e+01,3.509e-02,2.833e-02,6.165e+00,2.367e+01,263,6.371e+01,1.437e-02,-8.802e-02,8.122e+00,2.993e+01,1,0
98,0,137,5.349e+01,3.722e-01,1.309e-01,6.773e+00,3.154e+01,121,5.419e+01,3.812e-01,1.309e-01,6.669e+00,4.609e+00,0,0
99,0,72,4.638e+01,-7.308e-02,2.833e-02,5.957e+00,6.208e+01,120,5.199e+01,1.798e-02,2.833e-02,6.669e+00,6.082e+01,1,0
105,0,103,4.846e+01,1.915e-01,-7.421e-02,6.165e+00,6.452e+01,104,4.862e+01,1.134e-01,2.833e-02,6.165e+00,4.520e+01,1,0
111,0,70,5.500e+01,6.316e-01,-1.768e-01,5.957e+00,4.717e+01,257,8.470e+01,-9.454e-02,-5.884e-01,1.041e+01,1.939e+01,1,0
113,0,72,4.549e+01,1.799e-01,2.833e-02,5.957e+00,4.926e+01,264,6.241e+01,2.226e-01,1.452e-02,8.226e+00,3.439e+01,1,0
